Name,Number,Rarity
Weedle,1/39,
Pansage,2/39,
Chespin,3/39,
Quilladin,4/39,
Chesnaught,5/39,
Slugma,6/39,
Pansear,7/39,
Fennekin,8/39,
Braixen,9/39,
Delphox,10/39,
Panpour,11/39,
Froakie,12/39,
Frogadier,13/39,
Greninja,14/39,
Clauncher,15/39,
Poochyena,16/39,
Mightyena,17/39,
Inkay,18/39,
Pawniard,19/39,
Bisharp,20/39,
Honedge,21/39,
Snubbull,22/39,
Granbull,23/39,
Swirlix,24/39,
Farfetch'd,25/39,
Snorlax,26/39,
Miltank,27/39,
Skitty,28/39,
Bidoof,29/39,
Bunnelby,30/39,
Fletchling,31/39,
Furfrou,32/39,
Furfrou,33/39,
Crushing Hammer,34/39,
Poké Ball,35/39,
Pokémon Catcher,36/39,
Potion,37/39,
Switch,38/39,
Tierno,39/39,
