Name,Number,Rarity
Chespin,XY01/211,Promo
Fennekin,XY02/211,Promo
Froakie,XY03/211,Promo
Sylveon,XY04/211,Promo
Xerneas,XY05/211,Promo
Yveltal,XY06/211,Promo
Xerneas-EX,XY07/211,Promo
Yveltal-EX,XY08/211,Promo
Garchomp-EX,XY09/211,Promo
Dragalge,XY10/211,Promo
Skiddo,XY11/211,Promo
Honedge,XY12/211,Promo
Machamp,XY13/211,Promo
Trevenant,XY14/211,Promo
Slurpuff,XY15/211,Promo
Gogoat,XY16/211,Promo
Charizard-EX,XY17/211,Promo
Chesnaught-EX,XY18/211,Promo
Delphox-EX,XY19/211,Promo
Greninja-EX,XY20/211,Promo
Bronzong,XY21/211,Promo
Darkrai,XY22/211,Promo
Shiftry,XY23/211,Promo
Greninja,XY24/211,Promo
Krookodile-EX,XY25/211,Promo
Pyroar,XY26/211,Promo
Champions Festival,XY27/211,Promo
Venusaur-EX,XY28/211,Promo
Charizard-EX,XY29/211,Promo
Blastoise-EX,XY30/211,Promo
Xerneas,XY31/211,Promo
Yveltal,XY32/211,Promo
Trevor,XY33/211,Promo
Metagross-EX,XY34/211,Promo
M Metagross-EX,XY35/211,Promo
Treecko,XY36/211,Promo
Torchic,XY37/211,Promo
Mudkip,XY38/211,Promo
Kingdra,XY39/211,Promo
Ditto,XY40/211,Promo
Kyogre-EX,XY41/211,Promo
Groudon-EX,XY42/211,Promo
Diancie-EX,XY43/211,Promo
M Diancie-EX,XY44/211,Promo
Gallade-EX,XY45/211,Promo
Altaria,XY46/211,Promo
Heliolisk,XY47/211,Promo
Meowstic,XY48/211,Promo
Regirock,XY49/211,Promo
Pangoro,XY50/211,Promo
Kyogre,XY51/211,Promo
Groudon,XY52/211,Promo
Sceptile-EX,XY53/211,Promo
Blaziken-EX,XY54/211,Promo
Swampert-EX,XY55/211,Promo
Blissey,XY56/211,Promo
Fearow,XY57/211,Promo
Malamar,XY58/211,Promo
Salamence,XY59/211,Promo
Gyarados,XY60/211,Promo
Flygon-EX,XY61/211,Promo
Absol-EX,XY62/211,Promo
M Absol-EX,XY63/211,Promo
Rayquaza,XY64/211,Promo
Latios,XY65/211,Promo
Rayquaza-EX,XY66/211,Promo
Jirachi,XY67/211,Promo
Jirachi,XY67a/211,Promo
Chesnaught,XY68/211,Promo
Rayquaza-EX,XY69/211,Promo
Tyrantrum-EX,XY70/211,Promo
Hoopa-EX,XY71/211,Promo
Latios-EX,XY72/211,Promo
Rayquaza-EX,XY73/211,Promo
Reshiram,XY74/211,Promo
Palkia,XY75/211,Promo
Zekrom,XY76/211,Promo
Dialga,XY77/211,Promo
Latias,XY78/211,Promo
Latios,XY79/211,Promo
Black Kyurem,XY80/211,Promo
White Kyurem,XY81/211,Promo
Regigigas,XY82/211,Promo
Arceus,XY83/211,Promo
Pikachu-EX,XY84/211,Promo
Hoopa-EX,XY85/211,Promo
M Blaziken-EX,XY86/211,Promo
M Swampert-EX,XY87/211,Promo
Chespin,XY88/211,Promo
Pikachu,XY89/211,Promo
Hoopa,XY90/211,Promo
Champions Festival,XY91/211,Promo
Sableye,XY92/211,Promo
Celebi,XY93/211,Promo
Trevenant,XY94/211,Promo
Pikachu,XY95/211,Promo
Umbreon,XY96/211,Promo
Aerodactyl-EX,XY97/211,Promo
M Aerodactyl-EX,XY98/211,Promo
Aerodactyl Spirit Link,XY99/211,Promo
Mewtwo,XY100/211,Promo
Mewtwo,XY101/211,Promo
Aurorus-EX,XY102/211,Promo
Mawile-EX,XY103/211,Promo
M Mawile-EX,XY104/211,Promo
Mawile Spirit Link,XY105/211,Promo
Gyarados-EX,XY106/211,Promo
Mewtwo-EX,XY107/211,Promo
Machamp-EX,XY108/211,Promo
Gyarados,XY109/211,Promo
Mew,XY110/211,Promo
Celebi,XY111/211,Promo
Jirachi,XY112/211,Promo
Manaphy,XY113/211,Promo
Darkrai,XY114/211,Promo
Shaymin,XY115/211,Promo
Arceus,XY116/211,Promo
Victini,XY117/211,Promo
Keldeo,XY118/211,Promo
Genesect,XY119/211,Promo
Meloetta,XY120/211,Promo
Charizard-EX,XY121/211,Promo
Blastoise-EX,XY122/211,Promo
Venusaur-EX,XY123/211,Promo
Pikachu-EX,XY124/211,Promo
