Name,Number,Rarity
Venusaur-EX,1/146,Rare Holo EX
M Venusaur-EX,2/146,Rare Holo EX
Weedle,3/146,Common
Kakuna,4/146,Uncommon
Beedrill,5/146,Rare
Ledyba,6/146,Common
Ledian,7/146,Uncommon
Volbeat,8/146,Uncommon
Illumise,9/146,Uncommon
Pansage,10/146,Common
Simisage,11/146,Rare
Chespin,12/146,Common
Quilladin,13/146,Uncommon
Chesnaught,14/146,Rare Holo
Scatterbug,15/146,Common
Spewpa,16/146,Uncommon
Vivillon,17/146,Rare Holo
Skiddo,18/146,Common
Gogoat,19/146,Rare Holo
Slugma,20/146,Common
Magcargo,21/146,Rare
Pansear,22/146,Common
Simisear,23/146,Rare
Fennekin,24/146,Common
Braixen,25/146,Uncommon
Delphox,26/146,Rare Holo
Fletchinder,27/146,Uncommon
Talonflame,28/146,Rare Holo
Blastoise-EX,29/146,Rare Holo EX
M Blastoise-EX,30/146,Rare Holo EX
Shellder,31/146,Common
Cloyster,32/146,Rare
Staryu,33/146,Common
Starmie,34/146,Rare
Lapras,35/146,Rare Holo
Corsola,36/146,Uncommon
Panpour,37/146,Common
Simipour,38/146,Rare
Froakie,39/146,Common
Frogadier,40/146,Uncommon
Greninja,41/146,Rare Holo
Pikachu,42/146,Common
Raichu,43/146,Rare Holo
Voltorb,44/146,Common
Electrode,45/146,Uncommon
Emolga-EX,46/146,Rare Holo EX
Ekans,47/146,Common
Arbok,48/146,Rare
Spoink,49/146,Common
Grumpig,50/146,Rare
Venipede,51/146,Common
Whirlipede,52/146,Uncommon
Scolipede,53/146,Rare
Phantump,54/146,Common
Trevenant,55/146,Rare Holo
Pumpkaboo,56/146,Common
Gourgeist,57/146,Rare Holo
Diglett,58/146,Common
Dugtrio,59/146,Rare
Rhyhorn,60/146,Common
Rhydon,61/146,Rare
Rhyperior,62/146,Rare Holo
Lunatone,63/146,Uncommon
Solrock,64/146,Uncommon
Timburr,65/146,Common
Gurdurr,66/146,Uncommon
Conkeldurr,67/146,Rare
Sableye,68/146,Uncommon
Sandile,69/146,Common
Krokorok,70/146,Uncommon
Krookodile,71/146,Rare
Zorua,72/146,Common
Zoroark,73/146,Rare Holo
Inkay,74/146,Uncommon
Inkay,75/146,Common
Malamar,76/146,Rare
Malamar,77/146,Rare
Yveltal,78/146,Rare
Yveltal-EX,79/146,Rare Holo EX
Skarmory-EX,80/146,Rare Holo EX
Pawniard,81/146,Common
Bisharp,82/146,Rare
Honedge,83/146,Common
Doublade,84/146,Uncommon
Aegislash,85/146,Rare
Aegislash,86/146,Rare Holo
Jigglypuff,87/146,Common
Jigglypuff,88/146,Common
Wigglytuff,89/146,Rare
Wigglytuff,90/146,Rare
Mr. Mime,91/146,Uncommon
Spritzee,92/146,Common
Aromatisse,93/146,Rare Holo
Swirlix,94/146,Common
Slurpuff,95/146,Rare Holo
Xerneas,96/146,Rare
Xerneas-EX,97/146,Rare Holo EX
Doduo,98/146,Common
Dodrio,99/146,Uncommon
Tauros,100/146,Rare
Dunsparce,101/146,Uncommon
Taillow,102/146,Common
Swellow,103/146,Rare
Skitty,104/146,Common
Delcatty,105/146,Uncommon
Bidoof,106/146,Common
Bibarel,107/146,Rare
Lillipup,108/146,Common
Herdier,109/146,Uncommon
Stoutland,110/146,Rare
Bunnelby,111/146,Common
Diggersby,112/146,Uncommon
Fletchling,113/146,Common
Furfrou,114/146,Rare Holo
Cassius,115/146,Uncommon
Evosoda,116/146,Uncommon
Fairy Garden,117/146,Uncommon
Great Ball,118/146,Uncommon
Hard Charm,119/146,Uncommon
Max Revive,120/146,Uncommon
Muscle Band,121/146,Uncommon
Professor Sycamore,122/146,Uncommon
Professor's Letter,123/146,Uncommon
Red Card,124/146,Uncommon
Roller Skates,125/146,Uncommon
Shadow Circle,126/146,Uncommon
Shauna,127/146,Uncommon
Super Potion,128/146,Uncommon
Team Flare Grunt,129/146,Uncommon
Double Colorless Energy,130/146,Uncommon
Rainbow Energy,131/146,Uncommon
Grass Energy,132/146,Common
Fire Energy,133/146,Common
Water Energy,134/146,Common
Lightning Energy,135/146,Common
Psychic Energy,136/146,Common
Fighting Energy,137/146,Common
Darkness Energy,138/146,Common
Metal Energy,139/146,Common
Fairy Energy,140/146,Common
Venusaur-EX,141/146,Rare Ultra
Blastoise-EX,142/146,Rare Ultra
Emolga-EX,143/146,Rare Ultra
Yveltal-EX,144/146,Rare Ultra
Skarmory-EX,145/146,Rare Ultra
Xerneas-EX,146/146,Rare Ultra
